Title,Year,Director,Youtube Id,BPM,Album
Tim McGraw,2006,Trey Fanjoy,GkD20ajVxnY,152,Taylor Swift
Teardrops on My Guitar,2007,Trey Fanjoy,xKCek6_dB0M,100,Taylor Swift
Our Song,2007,Trey Fanjoy,Jb2stN7kH28,89,Taylor Swift
Picture to Burn,2008,Trey Fanjoy,yCMqcFAigRg,106,Taylor Swift
Change,2008,Shawn Robbins,B1jYllE0T-k,96,Fearless
Love Story,2008,Trey Fanjoy,8xg3vE8Ie_E,119,Fearless
White Horse,2009,Trey Fanjoy,D1Xr-JFLxik,93,Fearless
You Belong With Me,2009,Roman White,VuNIsY6JdUw,130,Fearless
Fifteen,2009,Roman White,Pb-K2tXWK4w,95,Fearless
Fearless,2010,Todd Cassetty,ptSjNWnzpjg,100,Fearless
Mine,2010,"Taylor Swift, Roman White",XPBwXKgDTdE,121,Speak Now
Back to December,2011,Yoann Lemoine,QUwxKWT6m7U,142,Speak Now
Mean,2011,Declan Whitebloom,jYa1eI1hpDE,121,Speak Now
The Story of Us,2011,Noble Jones,nN6VR92V70M,140,Speak Now
Sparks Fly,2011,Christian Lamb,oKar-tF__ac,126,Speak Now
Ours,2011,Declan Whitebloom,LZ34LlaIk88,121,Speak Now
Safe & Sound,2012,Philip Andelman,RzhAS_GnJIc,145,
We Are Never Ever Getting Back Together,2012,Declan Whitebloom,WA4iX5D9Z64,88,Red
Begin Again,2012,Philip Andelman,cMPEd8m79Hw,79,Red
I Knew You Were Trouble,2012,Anthony Mandler,vNoKguSdy4Y,77,Red
22,2013,Anthony Mandler,AgFeZr5ptV8,104,Red
Everything Has Changed,2013,Philip Andelman,w1oM3kQpXRo,80,Red
Red,2013,Kenny Jackson,Zlot0i3Zykw,125,Red
The Last Time,2013,Terry Richardson,QuijXg8wm28,94,Red
Shake It Off,2014,Mark Romanek,nfWlot6h_JM,160,1989
Blank Space,2014,Joseph Kahn,e-ORhEE9VVg,96,1989
Style,2015,Kyle Newman,-CmadmM5cOk,95,1989
Bad Blood,2015,Joseph Kahn,QcIy9NiNbmo,170,1989
Wildest Dreams,2015,Joseph Kahn,IdneKLhsWOQ,140,1989
Out of the Woods,2015,Joseph Kahn,JLf9q36UsBk,92,1989
New Romantics,2016,Jonas Åkerlund,wyK7YuwUWsU,122,1989
I Don't Wanna Live Forever,2017,Grant Singer,7F37r50VUTQ,118,
Look What You Made Me Do,2017,Joseph Kahn,3tmd-ClpJxA,128,Reputation
...Ready For It?,2017,Joseph Kahn,wIft-t-MQuE,160,Reputation
